目标变量,特征名,中文含义,示例日期,示例值,参考权重(%),相关方向
日最低负荷,month_cos,月份周期余弦,2015-01-10,0.866,5.61,负相关
日最低负荷,month_sin,月份周期正弦,2015-01-10,0.5,5.35,负相关
日最低负荷,hdd,供热度日,2015-01-10,2.6,4.1,负相关
日最低负荷,doy_sin,年内日周期正弦,2015-01-10,0.1713,3.72,负相关
日最低负荷,dow_cos,星期周期余弦,2015-01-10,-0.2225,1.68,负相关
日最低负荷,humidity,相对湿度,2015-01-10,54.0,1.34,正相关
日最低负荷,rainfall,降雨量,2015-01-10,0.0,0.88,正相关
日最低负荷,load_min_roll_std_7,日最低负荷过去 7 天滚动标准差,2015-01-10,458.4153,0.86,正相关
日最低负荷,dow_sin,星期周期正弦,2015-01-10,-0.9749,0.36,正相关
日最低负荷,temp_range,日温差,2015-01-10,7.9,0.2,负相关
日最低负荷,load_min_roll_std_14,日最低负荷过去 14 天滚动标准差,2015-01-10,780.4651,0.07,负相关
日最低负荷,is_weekend,是否周末,2015-01-10,1.0,0.02,负相关
日最高负荷,load_max_lag_1,日最高负荷前 1 天滞后值,2015-01-10,9000.5603,8.49,正相关
日最高负荷,load_max_roll_mean_7,日最高负荷过去 7 天滚动均值,2015-01-10,8575.2658,8.41,正相关
日最高负荷,load_max_lag_7,日最高负荷前 7 天滞后值,2015-01-10,7789.1912,7.93,正相关
日最高负荷,load_max_roll_mean_14,日最高负荷过去 14 天滚动均值,2015-01-10,8024.678,7.93,正相关
日最高负荷,load_max_lag_14,日最高负荷前 14 天滞后值,2015-01-10,8899.3291,6.8,正相关
日最高负荷,temp_min,最低温度,2015-01-10,12.0,6.47,正相关
日最高负荷,temp_avg,平均温度,2015-01-10,15.4,6.47,正相关
日最高负荷,doy_cos,年内日周期余弦,2015-01-10,0.9852,6.33,负相关
日最高负荷,temp_max,最高温度,2015-01-10,19.9,6.03,正相关
日最高负荷,cdd,制冷度日,2015-01-10,0.0,6.01,正相关
日最高负荷,month_cos,月份周期余弦,2015-01-10,0.866,5.2,负相关
日最高负荷,month_sin,月份周期正弦,2015-01-10,0.5,4.96,负相关
日最高负荷,hdd,供热度日,2015-01-10,2.6,3.8,负相关
日最高负荷,doy_sin,年内日周期正弦,2015-01-10,0.1713,3.47,负相关
日最高负荷,is_weekend,是否周末,2015-01-10,1.0,2.79,负相关
日最高负荷,load_max_roll_std_7,日最高负荷过去 7 天滚动标准差,2015-01-10,566.0138,2.75,正相关
日最高负荷,dow_sin,星期周期正弦,2015-01-10,-0.9749,2.01,正相关
日最高负荷,dow_cos,星期周期余弦,2015-01-10,-0.2225,1.36,负相关
日最高负荷,humidity,相对湿度,2015-01-10,54.0,1.25,正相关
日最高负荷,rainfall,降雨量,2015-01-10,0.0,0.79,正相关
日最高负荷,load_max_roll_std_14,日最高负荷过去 14 天滚动标准差,2015-01-10,1286.2136,0.57,正相关
日最高负荷,temp_range,日温差,2015-01-10,7.9,0.2,负相关
