date,target,target_col,value,lower_bound,upper_bound,direction,temp_avg,cause,action
2013-02-07,日最高负荷,load_max,3325.93,4459.56,13770.78,偏低,22.1,春节,保留（真实极端事件）
2013-02-08,日最高负荷,load_max,2703.27,4459.56,13770.78,偏低,16.0,春节,保留（真实极端事件）
2013-02-09,日最高负荷,load_max,2337.15,4459.56,13770.78,偏低,10.5,春节,保留（真实极端事件）
2013-02-10,日最高负荷,load_max,2215.55,4459.56,13770.78,偏低,12.2,春节,保留（真实极端事件）
2013-02-11,日最高负荷,load_max,2280.9,4459.56,13770.78,偏低,16.9,春节,保留（真实极端事件）
2013-02-12,日最高负荷,load_max,2441.18,4459.56,13770.78,偏低,17.9,春节,保留（真实极端事件）
2013-02-13,日最高负荷,load_max,2667.3,4459.56,13770.78,偏低,15.5,春节,保留（真实极端事件）
2013-02-14,日最高负荷,load_max,2899.63,4459.56,13770.78,偏低,18.9,春节,保留（真实极端事件）
2013-02-15,日最高负荷,load_max,3216.37,4459.56,13770.78,偏低,20.1,春节,保留（真实极端事件）
2013-02-16,日最高负荷,load_max,3496.76,4459.56,13770.78,偏低,16.0,春节,保留（真实极端事件）
2013-02-17,日最高负荷,load_max,3763.22,4459.56,13770.78,偏低,18.0,春节,保留（真实极端事件）
2013-05-01,日最高负荷,load_max,4424.04,4459.56,13770.78,偏低,22.6,劳动节,保留（真实极端事件）
2014-01-01,日最高负荷,load_max,4454.58,4459.56,13770.78,偏低,14.3,元旦,保留（真实极端事件）
2014-01-25,日最高负荷,load_max,4322.36,4459.56,13770.78,偏低,17.9,其他/未知,保留（真实极端事件）
2014-01-26,日最高负荷,load_max,3739.16,4459.56,13770.78,偏低,19.7,春节,保留（真实极端事件）
2014-01-27,日最高负荷,load_max,3527.45,4459.56,13770.78,偏低,18.2,春节,保留（真实极端事件）
2014-01-28,日最高负荷,load_max,3169.9,4459.56,13770.78,偏低,16.9,春节,保留（真实极端事件）
2014-01-29,日最高负荷,load_max,2772.75,4459.56,13770.78,偏低,18.2,春节,保留（真实极端事件）
2014-01-30,日最高负荷,load_max,2315.1,4459.56,13770.78,偏低,18.8,春节,保留（真实极端事件）
2014-01-31,日最高负荷,load_max,2242.06,4459.56,13770.78,偏低,19.8,春节,保留（真实极端事件）
2014-02-01,日最高负荷,load_max,2273.79,4459.56,13770.78,偏低,20.0,春节,保留（真实极端事件）
2014-02-02,日最高负荷,load_max,2361.38,4459.56,13770.78,偏低,20.0,春节,保留（真实极端事件）
2014-02-03,日最高负荷,load_max,2608.2,4459.56,13770.78,偏低,21.0,春节,保留（真实极端事件）
2014-02-04,日最高负荷,load_max,2818.59,4459.56,13770.78,偏低,19.8,春节,保留（真实极端事件）
2014-02-05,日最高负荷,load_max,3244.46,4459.56,13770.78,偏低,18.6,春节,保留（真实极端事件）
2014-02-06,日最高负荷,load_max,3568.06,4459.56,13770.78,偏低,20.1,春节,保留（真实极端事件）
2014-02-07,日最高负荷,load_max,4225.94,4459.56,13770.78,偏低,20.5,其他/未知,保留（真实极端事件）
2012-01-01,日平均负荷,load_mean,3193.7,3840.2,10384.36,偏低,15.8,元旦,保留（真实极端事件）
2012-01-18,日平均负荷,load_mean,3524.3,3840.2,10384.36,偏低,16.9,其他/未知,保留（真实极端事件）
2012-01-19,日平均负荷,load_mean,3115.59,3840.2,10384.36,偏低,19.2,春节,保留（真实极端事件）
2012-01-20,日平均负荷,load_mean,2672.13,3840.2,10384.36,偏低,16.4,春节,保留（真实极端事件）
2012-01-21,日平均负荷,load_mean,2198.79,3840.2,10384.36,偏低,14.7,春节,保留（真实极端事件）
2012-01-22,日平均负荷,load_mean,1918.7,3840.2,10384.36,偏低,9.7,春节,保留（真实极端事件）
2012-01-23,日平均负荷,load_mean,1780.0,3840.2,10384.36,偏低,7.0,春节,保留（真实极端事件）
2012-01-24,日平均负荷,load_mean,1847.85,3840.2,10384.36,偏低,6.7,春节,保留（真实极端事件）
2012-01-25,日平均负荷,load_mean,2024.55,3840.2,10384.36,偏低,6.1,春节,保留（真实极端事件）
2012-01-26,日平均负荷,load_mean,2267.18,3840.2,10384.36,偏低,6.1,春节,保留（真实极端事件）
2012-01-27,日平均负荷,load_mean,2342.14,3840.2,10384.36,偏低,8.7,春节,保留（真实极端事件）
2012-01-28,日平均负荷,load_mean,2553.42,3840.2,10384.36,偏低,13.8,春节,保留（真实极端事件）
2012-01-29,日平均负荷,load_mean,2766.23,3840.2,10384.36,偏低,12.8,春节,保留（真实极端事件）
2012-01-30,日平均负荷,load_mean,3399.57,3840.2,10384.36,偏低,13.8,其他/未知,保留（真实极端事件）
2012-09-30,日平均负荷,load_mean,3419.49,3840.2,10384.36,偏低,25.5,其他/未知,保留（真实极端事件）
2012-10-01,日平均负荷,load_mean,2892.62,3840.2,10384.36,偏低,25.1,国庆节,保留（真实极端事件）
2012-10-02,日平均负荷,load_mean,3340.73,3840.2,10384.36,偏低,25.5,国庆节,保留（真实极端事件）
2013-01-01,日平均负荷,load_mean,3188.88,3840.2,10384.36,偏低,10.7,元旦,保留（真实极端事件）
2013-02-04,日平均负荷,load_mean,3783.07,3840.2,10384.36,偏低,21.5,其他/未知,保留（真实极端事件）
2013-02-05,日平均负荷,load_mean,3543.18,3840.2,10384.36,偏低,22.3,其他/未知,保留（真实极端事件）
2013-02-06,日平均负荷,load_mean,3143.98,3840.2,10384.36,偏低,22.3,春节,保留（真实极端事件）
2013-02-07,日平均负荷,load_mean,2773.61,3840.2,10384.36,偏低,22.1,春节,保留（真实极端事件）
2013-02-08,日平均负荷,load_mean,2290.2,3840.2,10384.36,偏低,16.0,春节,保留（真实极端事件）
2013-02-09,日平均负荷,load_mean,1874.92,3840.2,10384.36,偏低,10.5,春节,保留（真实极端事件）
2013-02-10,日平均负荷,load_mean,1683.47,3840.2,10384.36,偏低,12.2,春节,保留（真实极端事件）
2013-02-11,日平均负荷,load_mean,1718.83,3840.2,10384.36,偏低,16.9,春节,保留（真实极端事件）
2013-02-12,日平均负荷,load_mean,1839.95,3840.2,10384.36,偏低,17.9,春节,保留（真实极端事件）
2013-02-13,日平均负荷,load_mean,2013.98,3840.2,10384.36,偏低,15.5,春节,保留（真实极端事件）
2013-02-14,日平均负荷,load_mean,2248.12,3840.2,10384.36,偏低,18.9,春节,保留（真实极端事件）
2013-02-15,日平均负荷,load_mean,2515.13,3840.2,10384.36,偏低,20.1,春节,保留（真实极端事件）
2013-02-16,日平均负荷,load_mean,2733.78,3840.2,10384.36,偏低,16.0,春节,保留（真实极端事件）
2013-02-17,日平均负荷,load_mean,2979.24,3840.2,10384.36,偏低,18.0,春节,保留（真实极端事件）
2013-02-18,日平均负荷,load_mean,3834.6,3840.2,10384.36,偏低,19.9,其他/未知,保留（真实极端事件）
2013-05-01,日平均负荷,load_mean,3491.39,3840.2,10384.36,偏低,22.6,劳动节,保留（真实极端事件）
2013-10-01,日平均负荷,load_mean,3820.03,3840.2,10384.36,偏低,27.2,国庆节,保留（真实极端事件）
2013-10-02,日平均负荷,load_mean,3739.73,3840.2,10384.36,偏低,27.8,国庆节,保留（真实极端事件）
2014-01-01,日平均负荷,load_mean,3585.27,3840.2,10384.36,偏低,14.3,元旦,保留（真实极端事件）
2014-01-25,日平均负荷,load_mean,3605.99,3840.2,10384.36,偏低,17.9,其他/未知,保留（真实极端事件）
2014-01-26,日平均负荷,load_mean,3127.12,3840.2,10384.36,偏低,19.7,春节,保留（真实极端事件）
2014-01-27,日平均负荷,load_mean,2882.84,3840.2,10384.36,偏低,18.2,春节,保留（真实极端事件）
2014-01-28,日平均负荷,load_mean,2606.71,3840.2,10384.36,偏低,16.9,春节,保留（真实极端事件）
2014-01-29,日平均负荷,load_mean,2277.07,3840.2,10384.36,偏低,18.2,春节,保留（真实极端事件）
2014-01-30,日平均负荷,load_mean,1937.72,3840.2,10384.36,偏低,18.8,春节,保留（真实极端事件）
2014-01-31,日平均负荷,load_mean,1725.2,3840.2,10384.36,偏低,19.8,春节,保留（真实极端事件）
2014-02-01,日平均负荷,load_mean,1741.1,3840.2,10384.36,偏低,20.0,春节,保留（真实极端事件）
2014-02-02,日平均负荷,load_mean,1782.74,3840.2,10384.36,偏低,20.0,春节,保留（真实极端事件）
2014-02-03,日平均负荷,load_mean,1968.09,3840.2,10384.36,偏低,21.0,春节,保留（真实极端事件）
2014-02-04,日平均负荷,load_mean,2172.38,3840.2,10384.36,偏低,19.8,春节,保留（真实极端事件）
2014-02-05,日平均负荷,load_mean,2489.9,3840.2,10384.36,偏低,18.6,春节,保留（真实极端事件）
2014-02-06,日平均负荷,load_mean,2767.49,3840.2,10384.36,偏低,20.1,春节,保留（真实极端事件）
2014-02-07,日平均负荷,load_mean,3358.22,3840.2,10384.36,偏低,20.5,其他/未知,保留（真实极端事件）
2014-02-08,日平均负荷,load_mean,3759.64,3840.2,10384.36,偏低,12.1,其他/未知,保留（真实极端事件）
2014-05-01,日平均负荷,load_mean,3645.07,3840.2,10384.36,偏低,20.6,劳动节,保留（真实极端事件）
2012-01-02,日最低负荷,load_min,2102.91,2406.35,7503.53,偏低,16.0,其他/未知,保留（真实极端事件）
2012-01-19,日最低负荷,load_min,2371.69,2406.35,7503.53,偏低,19.2,春节,保留（真实极端事件）
2012-01-20,日最低负荷,load_min,2125.93,2406.35,7503.53,偏低,16.4,春节,保留（真实极端事件）
2012-01-21,日最低负荷,load_min,1772.36,2406.35,7503.53,偏低,14.7,春节,保留（真实极端事件）
2012-01-22,日最低负荷,load_min,1433.13,2406.35,7503.53,偏低,9.7,春节,保留（真实极端事件）
2012-01-23,日最低负荷,load_min,1324.12,2406.35,7503.53,偏低,7.0,春节,保留（真实极端事件）
2012-01-24,日最低负荷,load_min,1339.47,2406.35,7503.53,偏低,6.7,春节,保留（真实极端事件）
2012-01-25,日最低负荷,load_min,1438.54,2406.35,7503.53,偏低,6.1,春节,保留（真实极端事件）
2012-01-26,日最低负荷,load_min,1589.32,2406.35,7503.53,偏低,6.1,春节,保留（真实极端事件）
2012-01-27,日最低负荷,load_min,1759.65,2406.35,7503.53,偏低,8.7,春节,保留（真实极端事件）
2012-01-28,日最低负荷,load_min,1734.21,2406.35,7503.53,偏低,13.8,春节,保留（真实极端事件）
2012-01-29,日最低负荷,load_min,1976.4,2406.35,7503.53,偏低,12.8,春节,保留（真实极端事件）
2012-01-30,日最低负荷,load_min,2114.1,2406.35,7503.53,偏低,13.8,其他/未知,保留（真实极端事件）
2012-10-01,日最低负荷,load_min,2119.05,2406.35,7503.53,偏低,25.1,国庆节,保留（真实极端事件）
2012-10-02,日最低负荷,load_min,2198.41,2406.35,7503.53,偏低,25.5,国庆节,保留（真实极端事件）
2013-01-02,日最低负荷,load_min,2175.14,2406.35,7503.53,偏低,14.5,其他/未知,保留（真实极端事件）
2013-02-07,日最低负荷,load_min,2235.13,2406.35,7503.53,偏低,22.1,春节,保留（真实极端事件）
2013-02-08,日最低负荷,load_min,1912.46,2406.35,7503.53,偏低,16.0,春节,保留（真实极端事件）
2013-02-09,日最低负荷,load_min,1497.1,2406.35,7503.53,偏低,10.5,春节,保留（真实极端事件）
2013-02-10,日最低负荷,load_min,1306.08,2406.35,7503.53,偏低,12.2,春节,保留（真实极端事件）
2013-02-11,日最低负荷,load_min,1311.58,2406.35,7503.53,偏低,16.9,春节,保留（真实极端事件）
2013-02-12,日最低负荷,load_min,1356.72,2406.35,7503.53,偏低,17.9,春节,保留（真实极端事件）
2013-02-13,日最低负荷,load_min,1491.28,2406.35,7503.53,偏低,15.5,春节,保留（真实极端事件）
2013-02-14,日最低负荷,load_min,1653.02,2406.35,7503.53,偏低,18.9,春节,保留（真实极端事件）
2013-02-15,日最低负荷,load_min,1801.96,2406.35,7503.53,偏低,20.1,春节,保留（真实极端事件）
2013-02-16,日最低负荷,load_min,1972.23,2406.35,7503.53,偏低,16.0,春节,保留（真实极端事件）
2013-02-17,日最低负荷,load_min,2082.12,2406.35,7503.53,偏低,18.0,春节,保留（真实极端事件）
2013-02-18,日最低负荷,load_min,2301.39,2406.35,7503.53,偏低,19.9,其他/未知,保留（真实极端事件）
2013-05-02,日最低负荷,load_min,2349.97,2406.35,7503.53,偏低,19.9,其他/未知,保留（真实极端事件）
2014-01-27,日最低负荷,load_min,2211.01,2406.35,7503.53,偏低,18.2,春节,保留（真实极端事件）
2014-01-28,日最低负荷,load_min,2073.78,2406.35,7503.53,偏低,16.9,春节,保留（真实极端事件）
2014-01-29,日最低负荷,load_min,1861.15,2406.35,7503.53,偏低,18.2,春节,保留（真实极端事件）
2014-01-30,日最低负荷,load_min,1584.76,2406.35,7503.53,偏低,18.8,春节,保留（真实极端事件）
2014-01-31,日最低负荷,load_min,1396.8,2406.35,7503.53,偏低,19.8,春节,保留（真实极端事件）
2014-02-01,日最低负荷,load_min,1351.87,2406.35,7503.53,偏低,20.0,春节,保留（真实极端事件）
2014-02-02,日最低负荷,load_min,1363.98,2406.35,7503.53,偏低,20.0,春节,保留（真实极端事件）
2014-02-03,日最低负荷,load_min,1445.27,2406.35,7503.53,偏低,21.0,春节,保留（真实极端事件）
2014-02-04,日最低负荷,load_min,1655.77,2406.35,7503.53,偏低,19.8,春节,保留（真实极端事件）
2014-02-05,日最低负荷,load_min,1755.4,2406.35,7503.53,偏低,18.6,春节,保留（真实极端事件）
2014-02-06,日最低负荷,load_min,1972.24,2406.35,7503.53,偏低,20.1,春节,保留（真实极端事件）
2014-02-07,日最低负荷,load_min,2233.24,2406.35,7503.53,偏低,20.5,其他/未知,保留（真实极端事件）
2014-07-24,日最低负荷,load_min,7516.44,2406.35,7503.53,偏高,31.6,极端高温,保留（真实极端事件）
